---, 0, 0, 1f:0e:12:df:e4:32, , -93, 
19/07/2026 17:20:13, -15826400, -47987155, d8:26:0f:a5:a0:bf, , -99, 
19/07/2026 17:20:19, -15826397, -47987161, f9:08:15:aa:31:fd, , -96, 
19/07/2026 17:20:20, -15826396, -47987163, 02:bd:5e:42:f4:6e, , -100, 
19/07/2026 17:20:23, -15826394, -47987161, 69:79:60:ea:6d:ed, , -95, 12
19/07/2026 17:20:25, -15826393, -47987161, c8:9c:ff:8d:45:f2, , -97, 
19/07/2026 17:20:28, -15826389, -47987160, 1d:f4:9f:35:bd:af, , -98, 
19/07/2026 17:20:30, -15826387, -47987159, 2a:a6:19:f5:f5:79, , -98, 
19/07/2026 17:20:32, -15826383, -47987152, 5d:2c:6b:72:c0:32, , -91, 11
19/07/2026 17:20:41, -15826381, -47987142, 04:e4:b6:fc:42:ca, 50" Crystal UHD, -79, 
19/07/2026 17:20:41, -15826381, -47987142, 10:2b:41:d5:cb:90, [TV] Samsung AU7700 43 TV, -72, 
19/07/2026 17:20:42, -15826381, -47987141, cb:28:15:79:72:90, Amazfit GTR 2, -84, 
19/07/2026 17:20:45, -15826381, -47987141, 1e:7a:7f:14:ce:c1, , -96, 
19/07/2026 17:20:49, -15826384, -47987137, 5d:2c:6b:72:c0:32, , -89, 11
19/07/2026 17:20:51, -15826383, -47987134, 1d:f4:9f:35:bd:af, , -96, 
19/07/2026 17:20:52, -15826383, -47987132, 69:79:60:ea:6d:ed, , -97, 12
19/07/2026 17:21:01, -15826381, -47987131, 16:0f:32:b9:82:2f, , -97, 
19/07/2026 17:21:10, -15826379, -47987131, f9:08:15:aa:31:fd, , -92, 
19/07/2026 17:21:19, -15826380, -47987134, 04:e4:b6:fc:42:ca, , -76, 
19/07/2026 17:21:19, -15826380, -47987134, cb:28:15:79:72:90, Amazfit GTR 2, -84, 
19/07/2026 17:21:19, -15826380, -47987134, 10:2b:41:d5:cb:90, [TV] Samsung AU7700 43 TV, -70, 
19/07/2026 17:21:20, -15826380, -47987134, 5d:2c:6b:72:c0:32, , -88, 11
19/07/2026 17:21:24, -15826378, -47987133, f9:08:15:aa:31:fd, , -93, 
19/07/2026 17:21:31, -15826377, -47987134, d6:47:e2:45:c1:c7, , -102, 
19/07/2026 17:21:35, -15826375, -47987136, d8:26:0f:a5:a0:bf, , -100, 
19/07/2026 17:21:39, -15826374, -47987138, 69:79:60:ea:6d:ed, , -96, 12
19/07/2026 17:21:42, -15826375, -47987139, 1e:7a:7f:14:ce:c1, , -88, 
19/07/2026 17:21:56, -15826398, -47987155, 04:e4:b6:fc:42:ca, 50" Crystal UHD, -74, 
19/07/2026 17:21:56, -15826398, -47987155, 10:2b:41:d5:cb:90, [TV] Samsung AU7700 43 TV, -72, 
19/07/2026 17:21:59, -15826386, -47987162, d8:26:0f:a5:a0:bf, , -97, 
19/07/2026 17:22:00, -15826384, -47987166, 69:79:60:ea:6d:ed, , -98, 12
19/07/2026 17:22:02, -15826358, -47987182, 1e:7a:7f:14:ce:c1, , -95, 
19/07/2026 17:22:11, -15826353, -47987233, d6:47:e2:45:c1:c7, , -92, 
19/07/2026 17:22:13, -15826357, -47987228, 5d:2c:6b:72:c0:32, , -91, 11
19/07/2026 17:22:17, -15826344, -47987229, 51:c1:5a:f1:1e:20, , -96, 12
19/07/2026 17:22:21, -15826330, -47987233, c8:9c:ff:8d:45:f2, , -98, 
19/07/2026 17:22:22, -15826330, -47987237, cb:28:15:79:72:90, Amazfit GTR 2, -83, 
19/07/2026 17:22:34, -15826336, -47987197, 04:e4:b6:fc:42:ca, 50" Crystal UHD, -74, 
19/07/2026 17:22:34, -15826336, -47987197, 10:2b:41:d5:cb:90, [TV] Samsung AU7700 43 TV, -65, 
19/07/2026 17:22:36, -15826343, -47987181, cb:28:15:79:72:90, Amazfit GTR 2, -83, 
19/07/2026 17:22:37, -15826347, -47987178, 1e:7a:7f:14:ce:c1, , -92, 
19/07/2026 17:22:43, -15826324, -47987202, d6:47:e2:45:c1:c7, , -91, 
19/07/2026 17:23:01, -15826273, -47987229, 5d:2c:6b:72:c0:32, , -92, 11
19/07/2026 17:23:04, -15826317, -47987207, 45:eb:5e:3a:e2:62, , -93, 12
19/07/2026 17:23:10, -15826344, -47987203, 04:e4:b6:fc:42:ca, 50" Crystal UHD, -73, 
19/07/2026 17:23:10, -15826344, -47987203, 10:2b:41:d5:cb:90, [TV] Samsung AU7700 43 TV, -65, 
19/07/2026 17:23:11, -15826351, -47987200, f9:08:15:aa:31:fd, , -95, 
19/07/2026 17:23:16, -15826345, -47987212, 5d:2c:6b:72:c0:32, , -90, 11
19/07/2026 17:23:17, -15826344, -47987214, cb:28:15:79:72:90, Amazfit GTR 2, -85, 
19/07/2026 17:23:25, -15826358, -47987197, 54:d0:25:19:6e:e7, , -96, 12
---, 0, 0, 04:e4:b6:fc:42:ca, , -74, 
---, 0, 0, 10:2b:41:d5:cb:90, [TV] Samsung AU7700 43 TV, -68, 
---, 0, 0, cb:28:15:79:72:90, Amazfit GTR 2, -92, 
19/07/2026 17:24:27, -15826402, -47987141, d6:47:e2:45:c1:c7, , -88, 
19/07/2026 17:24:27, -15826402, -47987141, 5d:2c:6b:72:c0:32, , -88, 11
19/07/2026 17:24:29, -15826399, -47987138, 54:d0:25:19:6e:e7, , -87, 12
19/07/2026 17:24:30, -15826397, -47987137, d8:26:0f:a5:a0:bf, , -96, 
19/07/2026 17:24:34, -15826393, -47987135, 02:bd:5e:42:f4:6e, , -100, 
19/07/2026 17:24:36, -15826391, -47987135, 2a:a6:19:f5:f5:79, , -97, 
19/07/2026 17:24:36, -15826391, -47987135, f9:08:15:aa:31:fd, , -86, 
19/07/2026 17:24:45, -15826391, -47987129, 51:c1:5a:f1:1e:20, , -99, 12
---, 0, 0, 04:e4:b6:fc:42:ca, , -73, 
